[Header]
INVESTIGATOR NAME,BeadStudio User
PROJECT NAME,HipSci_proj
EXPERIMENT NAME,HipSci_proj
DATE,10/7/2018 1:19:05 PM
[Manifests]
A,HumanCoreExome-12-v1-1-C
[Data]
Sample_ID,SentrixBarcode_A,SentrixPosition_A,Path,Aux
HPSI0613i-eojr_3,9465555086,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-febc_1,9426369103,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-febc_2,9426369103,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-febc_3,9426369103,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-focm_1,9465547104,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-focm_2,9465547104,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-focm_3,9465547104,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-funp_1,9465604059,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-funp_2,9465604059,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-funp_3,9465604059,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-giuo_4,9465547066,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-giuo_5,9465547066,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-giuo_6,9465547066,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-hegp_1,9465547069,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-hegp_2,9465547069,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-hegp_3,9465547069,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-hikj_1,9465547068,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-hikj_2,9465547068,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
