sample_id	file_name	ega_file_name	cell_type	condition	read_length	paired	stranded	study	protocol	genotype_id	bam_name
UCB1168	UCB1168_120224_4_sorted.bam	EGAF00000187336	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1168	_EGAR00001105442_UCB1168_120224_4_sorted.bam
UCB1169	UCB1169_120224_3_sorted.bam	EGAF00000187337	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1169	_EGAR00001105443_UCB1169_120224_3_sorted.bam
UCB116	UC116L_110221_1_sorted.bam	EGAF00000187158	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC116	_EGAR00001105264_UC116L_110221_1_sorted.bam
UCB1170	UCB1170_120229_5_sorted.bam	EGAF00000187338	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1170	_EGAR00001105444_UCB1170_120229_5_sorted.bam
UCB1171	UCB1171_120224_7_sorted.bam	EGAF00000187339	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1171	_EGAR00001105445_UCB1171_120224_7_sorted.bam
UCB1174	UCB1174_120202_4_sorted.bam	EGAF00000187340	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1174	_EGAR00001105446_UCB1174_120202_4_sorted.bam
UCB1175	UCB1175_120229_2_sorted.bam	EGAF00000187341	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1175	_EGAR00001105447_UCB1175_120229_2_sorted.bam
UCB1176	UCB1176_120202_2_sorted.bam	EGAF00000187342	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1176	_EGAR00001105448_UCB1176_120202_2_sorted.bam
UCB1178	UCB1178_120229_7_sorted.bam	EGAF00000187343	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1178	_EGAR00001105449_UCB1178_120229_7_sorted.bam
UCB1179	UCB1179_120202_1_sorted.bam	EGAF00000187344	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1179	_EGAR00001105450_UCB1179_120202_1_sorted.bam
UCB117	UC117L_110204_8_sorted.bam	EGAF00000187160	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC117	_EGAR00001105266_UC117L_110204_8_sorted.bam
UCB1180	UCB1180_120224_2_sorted.bam	EGAF00000187345	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1180	_EGAR00001105451_UCB1180_120224_2_sorted.bam
UCB1181	UCB1181_120224_5_sorted.bam	EGAF00000187346	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1181	_EGAR00001105452_UCB1181_120224_5_sorted.bam
UCB1182	UCB1182_120224_4_sorted.bam	EGAF00000187347	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1182	_EGAR00001105453_UCB1182_120224_4_sorted.bam
