sample_id	ega_id	fastq	ega_file
S00PVGB2	EGAR00001295272	_EGAR00001295272_150115_SN935_0003_B_C68W7ACXX_GCCAAT_5_read1.fastq.gz	EGAF00000764862
S00PWEB1	EGAR00001295280	_EGAR00001295280_150115_SN935_0003_B_C68W7ACXX_GTGAAA_1_read1.fastq.gz	EGAF00000764681
S00PYAB4	EGAR00001314253	_EGAR00001314253_150312_SN935_0008_A_C6CW3ACXX_ATGTCA_2_read1.fastq.gz	EGAF00000787634
S00Q00B1	EGAR00001314247	_EGAR00001314247_150312_SN935_0008_A_C6CW3ACXX_GATCAG_5_read1.fastq.gz	EGAF00000787630
S00Q4TB2	EGAR00001299957	_EGAR00001299957_150203_SN546_0269_B_C69G5ACXX_GAGTGG_4_read1.fastq.gz	EGAF00000768219
S00Q5RB1	EGAR00001295276	_EGAR00001295276_150115_SN935_0003_B_C68W7ACXX_GAGTGG_3_read1.fastq.gz	EGAF00000764865
S00Q6PB2	EGAR00001299962	_EGAR00001299962_150203_SN546_0269_B_C69G5ACXX_ACAGTG_2_read1.fastq.gz	EGAF00000768307
S00QE9B1	EGAR00001295281	_EGAR00001295281_150115_SN935_0003_B_C68W7ACXX_ACAGTG_1_read1.fastq.gz	EGAF00000764887
S00QPOB1	EGAR00001299938	_EGAR00001299938_150205_SN935_0004_A_C69EVACXX_ATCACG_6_read1.fastq.gz	EGAF00000768273
S00QQMB1	EGAR00001299950	_EGAR00001299950_150203_SN546_0269_B_C69G5ACXX_ACAGTG_8_read1.fastq.gz	EGAF00000768228
S00QRKB2	EGAR00001299963	_EGAR00001299963_150203_SN546_0269_B_C69G5ACXX_GCCAAT_1_read1.fastq.gz	EGAF00000768221
S00QTGB2	EGAR00001299939	_EGAR00001299939_150205_SN935_0004_A_C69EVACXX_GTCCGC_5_read1.fastq.gz	EGAF00000768274
S00QUEB1	EGAR00001295271	_EGAR00001295271_150115_SN935_0003_B_C68W7ACXX_ACAGTG_6_read1.fastq.gz	EGAF00000764675
S00QWAB1	EGAR00001299956	_EGAR00001299956_150203_SN546_0269_B_C69G5ACXX_GATCAG_5_read1.fastq.gz	EGAF00000768231
S00R0XB1	EGAR00001299936	_EGAR00001299936_150205_SN935_0004_A_C69EVACXX_GATCAG_7_read1.fastq.gz	EGAF00000768271
S00R1VB1	EGAR00001299948	_EGAR00001299948_150205_SN935_0004_A_C69EVACXX_GATCAG_1_read1.fastq.gz	EGAF00000768226
S00R9FB1	EGAR00001299961	_EGAR00001299961_150203_SN546_0269_B_C69G5ACXX_GTGAAA_2_read1.fastq.gz	EGAF00000769149
S00RADB5	EGAR00001295273	_EGAR00001295273_150115_SN935_0003_B_C68W7ACXX_CTTGTA_5_read1.fastq.gz	EGAF00000764676
S00RBBB1	EGAR00001295278	_EGAR00001295278_150115_SN935_0003_B_C68W7ACXX_GTCCGC_2_read1.fastq.gz	EGAF00000764866
