sample_id	ega_id	fastq	ega_file
S0041CB7	EGAR00001155924	_EGAR00001155924_131114_SN935_0183_A_C36BYACXX_ATCACG_4_read1.fastq.gz	EGAF00000362669
S00446B5	EGAR00001155921	_EGAR00001155921_131114_SN935_0183_A_C36BYACXX_GTCCGC_5_read1.fastq.gz	EGAF00000362666
S004M7B6	EGAR00001155867	_EGAR00001155867_131107_SN546_0223_B_C16A2ACXX_GCCAAT_8_read1.fastq.gz	EGAF00000362612
S004N5B7	EGAR00001155902	_EGAR00001155902_131114_SN935_0184_B_C35MPACXX_ACTGAT_7_read1.fastq.gz	EGAF00000362647
S005N1B6	EGAR00001155876	_EGAR00001155876_131107_SN546_0223_B_C16A2ACXX_CGATGT_4_read1.fastq.gz	EGAF00000362621
S005VMB6	EGAR00001155881	_EGAR00001155881_131107_SN546_0223_B_C16A2ACXX_GTGAAA_1_read1.fastq.gz	EGAF00000362626
S005WKB4	EGAR00001155926	_EGAR00001155926_131114_SN935_0183_A_C36BYACXX_CTTGTA_3_read1.fastq.gz	EGAF00000362671
S00630B1	EGAR00001155877	_EGAR00001155877_131107_SN546_0223_B_C16A2ACXX_GTGAAA_3_read1.fastq.gz	EGAF00000362622
S0064ZB9	EGAR00001155899	_EGAR00001155899_131114_SN935_0184_B_C35MPACXX_TTAGGC_8_read1.fastq.gz	EGAF00000362644
S006UKB7	EGAR00001155915	_EGAR00001155915_131114_SN935_0183_A_C36BYACXX_GTCCGC_8_read1.fastq.gz	EGAF00000362660
S006XEB5	EGAR00001155930	_EGAR00001155930_131114_SN935_0183_A_C36BYACXX_ACAGTG_1_read1.fastq.gz	EGAF00000362675
S007CFB8	EGAR00001155922	_EGAR00001155922_131114_SN935_0183_A_C36BYACXX_ACTGAT_5_read1.fastq.gz	EGAF00000362667
S007DDB5	EGAR00001155912	_EGAR00001155912_131114_SN935_0184_B_C35MPACXX_ATCACG_2_read1.fastq.gz	EGAF00000362657
S007F9B6	EGAR00001155879	_EGAR00001155879_131107_SN546_0223_B_C16A2ACXX_GCCAAT_2_read1.fastq.gz	EGAF00000362624
S007G7B6	EGAR00001155882	_EGAR00001155882_131107_SN546_0223_B_C16A2ACXX_CGATGT_1_read1.fastq.gz	EGAF00000362627
S007PQB5	EGAR00001155918	_EGAR00001155918_131114_SN935_0183_A_C36BYACXX_ATCACG_7_read1.fastq.gz	EGAF00000362663
S007WCB7	EGAR00001272572	_EGAR00001272572_141120_SN546_0260_B_C5VTFACXX_ACAGTG_3_read1.fastq.gz	EGAF00000697673
S00D9YB6	EGAR00001272583	_EGAR00001272583_141118_SN935_0217_B_C5VKNACXX_TTAGGC_5_read1.fastq.gz	EGAF00000697684
S00DKCB4	EGAR00001281538	_EGAR00001281538_141126_SN546_0261_B_C5T3MACXX_GATCAG_5_read1.fastq.gz	EGAF00000710480
S00DP2B4	EGAR00001272577	_EGAR00001272577_141118_SN935_0217_B_C5VKNACXX_GTGAAA_8_read1.fastq.gz	EGAF00000697678
S00E9UB4	EGAR00001281540	_EGAR00001281540_141126_SN546_0261_B_C5T3MACXX_ATCACG_4_read1.fastq.gz	EGAF00000710441
S00F9QB3	EGAR00001272562	_EGAR00001272562_141120_SN546_0260_B_C5VTFACXX_CAGATC_8_read1.fastq.gz	EGAF00000697703
S00FK4B5	EGAR00001272574	_EGAR00001272574_141120_SN546_0260_B_C5VTFACXX_CTTGTA_2_read1.fastq.gz	EGAF00000697675
S00FPVB5	EGAR00001272567	_EGAR00001272567_141120_SN546_0260_B_C5VTFACXX_GAGTGG_5_read1.fastq.gz	EGAF00000697709
S00FULB4	EGAR00001281537	_EGAR00001281537_141126_SN546_0261_B_C5T3MACXX_TTAGGC_5_read1.fastq.gz	EGAF00000710479
S00FVJB5	EGAR00001272588	_EGAR00001272588_141118_SN935_0217_B_C5VKNACXX_ACTGAT_3_read1.fastq.gz	EGAF00000697689
S00G5UB6	EGAR00001272591	_EGAR00001272591_141118_SN935_0217_B_C5VKNACXX_GCCAAT_1_read1.fastq.gz	EGAF00000697710
S00G7QB6	EGAR00001272559	_EGAR00001272559_141127_SN106_0108_A_C5VN1ACXX_TAGCTT_1_read1.fastq.gz	EGAF00000697700
S00G9MB6	EGAR00001272576	_EGAR00001272576_141120_SN546_0260_B_C5VTFACXX_ACTGAT_1_read1.fastq.gz	EGAF00000697677
S00GBIB9	EGAR00001272563	_EGAR00001272563_141120_SN546_0260_B_C5VTFACXX_TGACCA_7_read1.fastq.gz	EGAF00000697704
S00GECB4	EGAR00001281534	_EGAR00001281534_141126_SN546_0261_B_C5T3MACXX_CTTGTA_7_read1.fastq.gz	EGAF00000710458
S00GSLB4	EGAR00001281533	_EGAR00001281533_141126_SN546_0261_B_C5T3MACXX_GCCAAT_7_read1.fastq.gz	EGAF00000710457
S00GWDB5	EGAR00001281544	_EGAR00001281544_141126_SN546_0261_B_C5T3MACXX_ACAGTG_2_read1.fastq.gz	EGAF00000710374
S00H5QB8	EGAR00001272585	_EGAR00001272585_141118_SN935_0217_B_C5VKNACXX_GAGTGG_4_read1.fastq.gz	EGAF00000697686
S00HE8B6	EGAR00001272581	_EGAR00001272581_141118_SN935_0217_B_C5VKNACXX_TGACCA_6_read1.fastq.gz	EGAF00000697682
S00HVBB4	EGAR00001281531	_EGAR00001281531_141126_SN546_0261_B_C5T3MACXX_GTGAAA_8_read1.fastq.gz	EGAF00000709907
S00J5IB5	EGAR00001272586	_EGAR00001272586_141118_SN935_0217_B_C5VKNACXX_ATCACG_4_read1.fastq.gz	EGAF00000697687
S00J9AB4	EGAR00001272590	_EGAR00001272590_141118_SN935_0217_B_C5VKNACXX_ACAGTG_2_read1.fastq.gz	EGAF00000697691
S00JA8B4	EGAR00001272564	_EGAR00001272564_141120_SN546_0260_B_C5VTFACXX_ACTTGA_7_read1.fastq.gz	EGAF00000697705
