sample_id	genotype_id	fq1	fq2	sex	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188305	NA20773	ERR188305_1.fastq.gz	ERR188305_2.fastq.gz	female	SAME124575	TSI	Tuscan	EUR	European
ERR188306	NA19138	ERR188306_1.fastq.gz	ERR188306_2.fastq.gz	male	SAME125236	YRI	Yoruba	AFR	African
ERR188307	HG00101	ERR188307_1.fastq.gz	ERR188307_2.fastq.gz	male	SAME125153	GBR	British	EUR	European
ERR188308	NA12760	ERR188308_1.fastq.gz	ERR188308_2.fastq.gz	male	SAME124465	CEU	CEPH	EUR	European
ERR188309	HG00150	ERR188309_1.fastq.gz	ERR188309_2.fastq.gz	female	SAME124591	GBR	British	EUR	European
ERR188310	HG00124	ERR188310_1.fastq.gz	ERR188310_2.fastq.gz	female	SAME122870	GBR	British	EUR	European
ERR188311	NA18488	ERR188311_1.fastq.gz	ERR188311_2.fastq.gz	female	SAME124103	YRI	Yoruba	AFR	African
ERR188312	HG00233	ERR188312_1.fastq.gz	ERR188312_2.fastq.gz	female	SAME124127	GBR	British	EUR	European
ERR188313	NA18873	ERR188313_1.fastq.gz	ERR188313_2.fastq.gz	female	SAME123536	YRI	Yoruba	AFR	African
ERR188314	HG00380	ERR188314_1.fastq.gz	ERR188314_2.fastq.gz	female	SAME123031	FIN	Finnish	EUR	European
ERR188315	HG00120	ERR188315_1.fastq.gz	ERR188315_2.fastq.gz	female	SAME122874	GBR	British	EUR	European
ERR188316	NA20796	ERR188316_1.fastq.gz	ERR188316_2.fastq.gz	male	SAME123819	TSI	Tuscan	EUR	European
ERR188317	NA20527	ERR188317_1.fastq.gz	ERR188317_2.fastq.gz	male	SAME124013	TSI	Tuscan	EUR	European
ERR188318	HG00276	ERR188318_1.fastq.gz	ERR188318_2.fastq.gz	female	SAME123424	FIN	Finnish	EUR	European
ERR188319	NA12249	ERR188319_1.fastq.gz	ERR188319_2.fastq.gz	female	SAME125371	CEU	CEPH	EUR	European
ERR188320	HG00185	ERR188320_1.fastq.gz	ERR188320_2.fastq.gz	male	SAME123648	FIN	Finnish	EUR	European
ERR188321	HG00339	ERR188321_1.fastq.gz	ERR188321_2.fastq.gz	female	SAME123991	FIN	Finnish	EUR	European
ERR188322	NA19190	ERR188322_1.fastq.gz	ERR188322_2.fastq.gz	female	SAME124041	YRI	Yoruba	AFR	African
