fastq_md5	fastq_ftp
9c8246cc65d84c1e7cafeb0830f19f5a;293680ee935a0eb1c4b5168a17e5c659	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720269/ERR720269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720269/ERR720269_2.fastq.gz
371f2cd9417051ee25ef18a6e05026d0;6aebdd09bf6d291c4a6abc6aa3860595	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720270/ERR720270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720270/ERR720270_2.fastq.gz
cd53f36c0f604609d7612dd7bceefc7e;cb2f81ab3ed9505a7b5b36c74aa83983	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720271/ERR720271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720271/ERR720271_2.fastq.gz
cb73473e52a090853131db829071f630;5785fda512a34be62f53a53183eaed31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720272/ERR720272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720272/ERR720272_2.fastq.gz
c6b2b1fc51c6f5b998eaea8b959f7cc6;2e35a4b6794c3fe3822a525b5684e0fa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720273/ERR720273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720273/ERR720273_2.fastq.gz
e23c5ed819d3a08e870b7590bc690902;9fc1fe3b4ae420edefd1288a9189cbe5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720274/ERR720274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720274/ERR720274_2.fastq.gz
5012e53400035e911521a149f2b4b2c0;d3f36cf77967c779bec8ad841755014a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720275/ERR720275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720275/ERR720275_2.fastq.gz
4f96fa582c12572f181dc50871b88ab8;46d8419d08b436589fb3827eb34a0156	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720276/ERR720276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720276/ERR720276_2.fastq.gz
fa295e72a539b7794b792be5d624e6e8;9f8b8f5d1bad6c949597016e44882e96	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720277/ERR720277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720277/ERR720277_2.fastq.gz
946d238a3fc58dd55d58467677f6b4c3;579b46621f020a1845d6dfc28261710a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720278/ERR720278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720278/ERR720278_2.fastq.gz
20490c1fb5f05e2da9ea3faad1267f54;2f4550efda434779c321e982433ad372	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720279/ERR720279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720279/ERR720279_2.fastq.gz
020279422896c9f2cb0da68eb999430a;cab49fb7e05179df192c80ad9d7654d5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720280/ERR720280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720280/ERR720280_2.fastq.gz
93ad9513b83e01c33bb49636e5259f1c;3d079341ff3ae9bcb753424dbc66eb4e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720281/ERR720281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720281/ERR720281_2.fastq.gz
2a6ff527212c15fd47c76c6d703b6a34;264536864f55927e09f1fcd3ed4873d7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720282/ERR720282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720282/ERR720282_2.fastq.gz
5611d45a2e871f65c0bd277e4c604cab;c5e9df754d21726486222651bdceb5dd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720283/ERR720283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720283/ERR720283_2.fastq.gz
d071b269274130468f39470f87077876;74da3ad7f09c7c4fb4c9c310f9c94aad	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720284/ERR720284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720284/ERR720284_2.fastq.gz
3ca00b4d7a42a82eb18df5394f57d832;d651d479b2229c049fd2d5abb5b1ce08	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720285/ERR720285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720285/ERR720285_2.fastq.gz
fe3f2fea7c7fd510e62a293e1a51c4ea;89fb2e0046e1e15361a1786b5cb6936a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720286/ERR720286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720286/ERR720286_2.fastq.gz
aa96c4cd6ac3be7189a28176b50027f8;3443369449fb1bc1c10a344dcf9bff65	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720287/ERR720287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720287/ERR720287_2.fastq.gz
158b111f258f1ae1b4a3cb68e491793e;8c401457b8ff65d70a68b9ba80ff7c9e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720288/ERR720288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720288/ERR720288_2.fastq.gz
