biosample_id	sample_id	sample_name	sex	donor_id
SAMN10104310	SRR7463676	0448V012512_FLU	female	IGTB448
SAMN10103981	SRR7463677	0469V072811_FLU	female	IGTB469
SAMN10104093	SRR7463678	0481V110811_FLU	male	IGTB481
SAMN10104008	SRR7463679	0490V111011_FLU	female	IGTB490
SAMN10104415	SRR7463680	0494V031011_FLU	female	IGTB494
SAMN10104384	SRR7463681	0496V080411_FLU	female	IGTB496
SAMN10104408	SRR7463682	0498V013112_FLU	male	IGTB1669
SAMN10104029	SRR7463683	0501V120811_FLU	female	IGTB501
SAMN10104467	SRR7463684	0506V080911_FLU	female	IGTB506
SAMN10103996	SRR7463685	0517V062211_FLU	female	IGTB517
SAMN10104109	SRR7463686	0529V031011_FLU	male	IGTB529
SAMN10104371	SRR7463687	0533V033011_FLU	male	IGTB533
SAMN10103998	SRR7463688	0536V081011_FLU	male	IGTB536
SAMN10103945	SRR7463689	0559V072011_FLU	female	IGTB559
SAMN10104290	SRR7463690	0565V030111_FLU	female	IGTB565
SAMN10104381	SRR7463691	0568V112911_FLU	female	IGTB568
SAMN10104052	SRR7463692	0570V062211_FLU	female	IGTB570
SAMN10104085	SRR7463693	0575V081111_FLU	female	IGTB575
SAMN10103946	SRR7463694	0612V021611_FLU	female	IGTB612
SAMN10104154	SRR7463695	0619V011812_FLU	female	IGTB619
SAMN10104448	SRR7463696	0621V012611_FLU	female	IGTB621
SAMN10104199	SRR7463697	0627V101311_FLU	male	IGTB627
SAMN10104228	SRR7463698	0638V121311_FLU	male	IGTB638
SAMN10104273	SRR7463699	0641V101811_FLU	male	IGTB641
SAMN10104147	SRR7463700	0661V031711_FLU	female	IGTB661
SAMN10104207	SRR7463701	0668V062311_FLU	male	IGTB668
SAMN10104382	SRR7463702	0670V081111_FLU	female	IGTB670
SAMN10104485	SRR7463703	0678V081811_FLU	male	IGTB678
SAMN10104439	SRR7463704	0695V060711_FLU	male	IGTB695
SAMN10103997	SRR7463705	0697V120611_FLU	female	IGTB697
SAMN10104242	SRR7463706	0707V030911_FLU	male	IGTB707
SAMN10104288	SRR7463707	0713V020311_FLU	female	IGTB713
SAMN10103985	SRR7463708	0719V110211_FLU	female	IGTB719
SAMN10104417	SRR7463709	0731V012412_FLU	female	IGTB731
SAMN10104433	SRR7463710	0760V110211_FLU	female	IGTB1112
SAMN10104487	SRR7463711	0775V121511_FLU	female	IGTB775
SAMN10104028	SRR7463712	0793V060911_FLU	male	IGTB793
SAMN10104459	SRR7463713	0797V071411_FLU	male	IGTB797
SAMN10103949	SRR7463714	0802V063011_FLU	female	IGTB802
SAMN10104125	SRR7463715	0809V082411_FLU	male	IGTB809
SAMN10104398	SRR7463716	0836V030311_FLU	female	IGTB836
SAMN10103916	SRR7463717	0839V112211_FLU	male	IGTB839
SAMN10104214	SRR7463718	0843V021711_FLU	female	IGTB843
SAMN10103924	SRR7463719	0863V113011_FLU	female	IGTB863
SAMN10104353	SRR7463720	0865V080311_FLU	female	IGTB865
SAMN10104065	SRR7463721	0866V012611_FLU	male	IGTB866
SAMN10104038	SRR7463722	0874V121411_FLU	female	IGTB874
SAMN10104234	SRR7463723	0876V030211_FLU	female	IGTB876
SAMN10104378	SRR7463724	0880V110811_FLU	male	IGTB880
SAMN10104103	SRR7463725	0885V060110_FLU	male	IGTB885
SAMN10104138	SRR7463726	0888V111511_FLU	female	IGTB888
