 FID                 IID       PEDSEX       SNPSEX       STATUS            F
 328   8327817122_R04C01            2            2           OK      0.02644
 329   5434289003_R02C01            1            1           OK       0.9409
 330   8324843130_R05C01            1            1           OK       0.9244
 331   8327817141_R05C02            2            2           OK     -0.02129
 332   5434289075_R02C02            2            2           OK     -0.01486
 333   5434289041_R05C01            1            1           OK       0.9445
 334   5443804058_R05C02            1            1           OK       0.9423
 335   5434289051_R02C02            1            1           OK       0.9377
 336   5434289058_R05C01            1            1           OK       0.9371
 337   5434289081_R02C01            1            1           OK       0.9374
 338   8324843038_R04C02            2            2           OK      0.06439
 339   5434289075_R03C01            2            2           OK      0.02454
 340   5443804115_R06C01            2            2           OK      0.02136
 341   5434289041_R04C02            1            1           OK       0.9443
 342   8546260098_R06C02            2            2           OK      -0.0177
 343   5434289003_R03C02            2            2           OK      -0.0226
 344   8327817122_R05C02            1            1           OK       0.9088
 345   8327817141_R04C01            1            1           OK       0.9309
 346   8324843130_R04C02            2            2           OK     -0.01878
